Computer Vision Foundation,overall,50000,cvf_full.png,http://www.cv-foundation.org/
IEEE Computer Society,overall,50000,ieee_cs_full.png,http://www.computer.org/
National Science Foundation,gold,15050,nsf_full.png,http://www.nsf.gov/
Mitsubishi Electric,gold,10500,merl_full.png,http://www.merl.com/
Google,gold,10000,google_full.png,http://research.google.com/
Microsoft Research,gold,8000,msr_full.png,http://research.microsoft.com/
A9.com,gold,8000,a9_new_full.png,http://www.a9.com/
Bing,gold,8000,bing_new_full.png,http://www.bing.com/
Intel,gold,8000,intel_full.png,http://www.intel.com/
IBM Research,gold,10000,ibm_full.png,http://www.research.ibm.com/
Facebook,silver,4000,facebook_full.png,https://www.facebook.com/careers/university
UTRC,silver,6000,utrc_full.png,http://www.utrc.utc.com/
Qualcomm,silver,5000,qualcomm_full.png,http://qualcomm.com/
NVIDIA,silver,4000,nvidia_full.png,http://www.nvidia.com
Honeywell,silver,4000,honeywell_full.png,http://www.honeywell.com/
PrimeSense,silver,5000,primesense_full.png,http://www.primesense.com/
Honda Research Institute,silver,4000,hri_full.png,http://www.honda-ri.com/HRI_Us/
Xerox,silver,4000,xerox_full.png,https://open.xerox.com/Services/XIG-computer-vision
KLA-Tencor,silver,4000,kla-tencor_full.png,http://www.kla-tencor.com/
Point Grey,bronze,3000,pointgrey_full.png,http://www.ptgrey.com/
Kitware,bronze,3000,kitware_full.png,http://www.kitware.com/
MathWorks,bronze,3000,mathworks_full.png,http://www.mathworks.com/
System and Technology Research,bronze,2000,str_full.png,http://www.systemstechnologyresearch.com/
Mobileye,bronze,2000,mobileye_full.png,http://www.mobileye.com
Omron,bronze,2000,omron_full.png,http://www.omron.com/
ObjectVideo,bronze,2000,objectvideo_full.png,http://www.objectvideo.com/
Itseez,bronze,2000,itseez_full.png,http://itseez.com/
Kooaba,bronze,2000,kooaba_full.png,http://www.kooaba.com/
Adobe,bronze,2000,adobe_full.png,http://www.adobe.com/
Technicolor,bronze,2000,technicolor_full.png,http://www.technicolor.com/
BAE,bronze,2000,bae_full.png,http://www.baesystems.com/
Siemens,bronze,2000,siemens_full.png,http://www.usa.siemens.com/en/about_us/research/home.htm
COGNEX,bronze,2000,cognex_full.png,http://www.cognex.com/
Tandent Vision Science,bronze,2000,tandent_full.png,http://www.tandent.com/
