P FriA,Computational photography,553,Low-Cost Compressive Sensing for Color Video and Depth,"A simple and inexpensive (low-power and lowbandwidth) modification is made to a conventional off-the-shelf color video camera, from which we recover multiple color frames for each of the original measured frames, and each of the recovered frames can be focused at a different depth. The recovery of multiple frames for each measured frame is made possible via high-speed coding, manifested via translation of a single coded aperture; the inexpensive translation is constituted by mounting the binary code on a piezoelectric device. To simultaneously recover depth information, a liquid lens is modulated at high speed, via a variable voltage. Consequently, during the aforementioned coding process, the liquid lens allows the camera to sweep the focus through multiple depths. In addition to designing and implementing the camera, fast recovery is achieved by an anytime algorithm exploiting the group-sparsity of wavelet/DCT coefficients.  ","Xin Yuan*, Duke University; Patrick Llull, Duke University; Xuejun Liao, Duke University; Jianbo Yang, Duke University; David Brady, Duke University; Guillermo Sapiro, Duke University; Lawrence Carin, Duke University","Computational photography, sensing and display*; Computational photography, sensing and display\Computational video; Computational photography, sensing and display\De-blurring and super-resolution; Computational photography, sensing and display\Depth sensors; Computational photography, sensing and display\New sensors and cameras"
P FriA,Computational photography,863,Aliasing Detection and Reduction in Plenoptic Imaging,"When using plenoptic camera for digital refocusing, angular undersampling can cause severe (angular) aliasing artifacts. Previous approaches have focused on avoiding aliasing by pre-processing the acquired light field via prefiltering, demosaicing, reparameterization, etc. In this paper, we present a different solution that first detects and then removes aliasing at the light field refocusing stage. Different from previous frequency domain aliasing analysis, we carry out a spatial domain analysis to reveal whether the aliasing would occur and uncover where in the image it would occur. The spatial analysis also facilitates easy separation of the aliasing vs. non-aliasing regions and aliasing removal. Experiments on both synthetic scene and real light field camera array data sets demonstrate that our approach has a number of advantages over the classical prefiltering and depth-dependent light field rendering techniques.","Zhaolin Xiao, Northwestern Polytechnical University; Qing Wang*, Northwestern Polytechnical University; Jingyi Yu, ; Guoqing Zhou, Northwestern Polytechnical University","Computational photography, sensing and display*; Computational photography, sensing and display\Image and video re-targeting"
P FriA,Computational photography,231,Illumination-Aware Age Progression,"We present an approach that takes a single photograph of a child as input and automatically produces a series of age-progressed outputs between 1 and 80 years of age, accounting for pose, expression, and illumination. Leveraging thousands of photos of children and adults at many ages from the Internet, we first show how to compute average image subspaces that are pixel-to-pixel aligned and model variable lighting.  These averages depict a prototype man and woman aging from 0 to 80, under any desired illumination,  and capture the differences in shape and texture between ages. Applying these differences to a new photo yields an age progressed result.  Contributions include re-lightable age subspaces, a novel technique for subspace-to-subspace alignment, and the most extensive evaluation of age progression techniques in the literature.","Supasorn Suwajanakorn, University of Washington; Ira Kemelmacher*, University of Washington; Steve Seitz, Washington/Google","Computational photography, sensing and display*; Face and gesture"
P FriA,Computational photography,515,Color Transfer using Probabilistic Moving Least Squares,"This paper introduces a new color transfer method which is a process of transferring color of an image to match the color of another image of the same scene. The color of a scene may vary from image to image because the photographs are taken at different times, with different cameras, and under different camera settings. To solve for a full nonlinear and nonparametric color mapping in the 3D RGB color space,  we propose a scattered point interpolation scheme using moving least squares and strengthen it with a probabilistic modeling of the color transfer in the 3D color space to deal with mis-alignments and noise. Experiments show the effectiveness of our method over previous color transfer works both quantitatively and qualitatively. In addition, our framework can be applied for various instances of color transfer such as transferring color between different camera models, camera settings, and illumination conditions, as well as for video color transfers.","Youngbae Hwang, ; Joon-Young Lee, KAIST; In So Kweon, KAIST; Seon Joo Kim*, Yonsei University","Computational photography, sensing and display\Color processing and tone adjustment*"
P FriA,Computational photography,471,Image Preconditioning: Balancing Contrast and Ringing,"The goal of image preconditioning is to process an image such that after being convolved with a known kernel, will appear close to the sharp reference image. In a practical setting, the preconditioned image has significantly higher dynamic range than the latent image. As a result, some form of tone mapping is needed. In this paper, we show how global tone mapping functions affect contrast and ringing in image preconditioning. In particular, we show that linear tone mapping eliminates ringing but incurs severe contrast loss, while non-linear tone mapping functions such as Gamma curves slightly enhances contrast but introduces ringing. To enable quantitative analysis, we design new metrics to measure the contrast of an image with ringing. Specifically, we set out to find its ""equivalent ringing-free"" image that matches its intensity histogram and uses its contrast as the measure. We illustrate our approach on projector defocus compensation and visual acuity enhancement. Compared with the state-of-the-art, our approach significantly improves the contrast. We believe our technique is the first to analytically trade-off between contrast and ringing.","Yu Ji, University of Delaware; Jinwei Ye*, University of Delaware; Sing Bing Kang, Microsoft; Jingyi Yu, ","Computational photography, sensing and display\Computational displays*; Computational photography, sensing and display\Color processing and tone adjustment; Computational photography, sensing and display\High dynamic range imaging; Low-level vision and image processing\Color processing and tone adjustment; Low-level vision and image processing\Image enhancement"
P FriA,Computational photography,482,Time-Mapping Using Space-Time Saliency,"We describe a new approach for generating regular-speed, low-frame-rate (LFR) video  from a high-frame-rate (HFR) input while preserving the important moments in  the original. We call this {\em time-mapping}, a time-based analogy to high dynamic range to low  dynamic range spatial tone-mapping.  Our approach makes these contributions:  (1) a robust space-time saliency method for evaluating visual importance,  (2) a re-timing technique to temporally resample based on frame importance, and  (3) temporal filters to enhance the rendering of salient motion.  Results of our space-time saliency method on a benchmark dataset show it is state-of-the-art.  In addition, the benefits of our approach to HFR-to-LFR time-mapping over more direct methods are  demonstrated in a user study.","Feng Zhou*, Carnegie Mellon University; Sing Bing Kang, Microsoft Research; Michael Cohen, Microsoft","Computational photography, sensing and display\Computational video*; Computational photography, sensing and display\Image and video re-targeting; Computational photography, sensing and display\Video summarization; Vision for graphics"
P FriA,Computational photography,1233,Gyro-Based Multi-Image Deconvolution for Removing Handshake Blur,"Image deblurring to remove blur caused by camera  shake has been intensively studied. Nevertheless, most  methods are brittle and computationally expensive. In this  paper we analyze multi-image approaches, which capture  and combine multiple frames in order to make deblur-  ring more robust and tractable. In particular, we compare  the performance of two approaches: align-and-average  and multi-image deconvolution. Our deconvolution is non-  blind, using a blur model obtained from real camera motion  as measured by a gyroscope. We show that in most situ-  ations such deconvolution outperforms align-and-average.  Wealsoshow, perhapssurprisingly, thatdeconvolutiondoes  not benefit from increasing exposure time beyond a certain  threshold. To demonstrate the effectiveness and efficiency of  our method, we apply it to still-resolution imagery of nat-  ural scenes captured using a mobile camera with flexible  camera control and an attached gyroscope.","Sung Hee Park*, Stanford University; Marc Levoy, ","Computational photography, sensing and display\De-blurring and super-resolution*"
P FriA,Computational photography,558,Similarity-Aware Patchwork Assembly for Depth Image Super-Resolution,"This paper describes a patchwork assembly algorithm for depth image super-resolution. An input low resolution depth image is disassembled into parts by matching similar regions on a set of high resolution training images, and a super-resolution image is then assembled using these corresponding matched counterparts. We convert the super-resolution problem into a Markov random field labeling problem, and propose a unified formulation embedding (1) the consistency between the resolution enhanced image and the original input, (2) the similarity of disassembled parts with the corresponding regions on training images, (3) the depth smoothness in local neighborhoods, (4) the additional geometric constraints from self-similar structures in the scene, and (5) the boundary coincidence between the resolution enhanced depth image and an optional aligned high resolution intensity image. Experimental results on both synthetic and real-world data demonstrate that the proposed algorithm is capable of recovering high quality depth images with X 4 resolution enhancement along each coordinate direction, and that it outperforms the state-of-the-arts [14] in both qualitative and quantitative evaluations.","Jing Li, Peking University; Zhichao Lu, Peking University; Gang Zeng*, Peking University; Hongbin Zha, Pekin University","Computational photography, sensing and display\De-blurring and super-resolution*; Computational photography, sensing and display; Low-level vision and image processing; Low-level vision and image processing\De-blurring and super-resolution"
P FriA,Computational photography,390,Deblurring Low-light Images with Light Streaks,"Images taken in low-light conditions with handheld cameras are often blurry due to the required long exposure time. Although significant progress has been made recently on image deblurring, state-of-the-art approaches often fail on low-light images, as these images do not contain sufficient salient features that deblurring methods rely on. On the other hand, light streaks are common phenomenons in low-light images that contain rich blur information, but have not been extensively explored in previous approaches. In this work, we propose a new method that utilizes light streaks to help deblur low-light images. Our approach first automatically detects useful light streaks in the input image, and then poses them as constraints for estimating the blur kernel in an optimization framework. Experimental results show that by explicitly modeling light streaks in the deblur process, our approach could obtain good results on challenging real-world examples that no other methods could achieve before.","Zhe Hu*, UC, Merced; Sunghyun Cho, Adobe; Jue Wang, ; Ming-Hsuan Yang, UC Merced","Computational photography, sensing and display\De-blurring and super-resolution*; Low-level vision and image processing\De-blurring and super-resolution; Low-level vision and image processing\Image restoration"
P FriA,Computational photography,173,Depth Enhancement via Low-rank Matrix Completion,"Depth captured by consumer RGB-D cameras is often noisy and misses values at some pixels, especially around object boundaries. Most existing methods complete the missing depth values guided by the corresponding color image. When the color image is noisy or the correlation between color and depth is weak, the depth map cannot be properly enhanced. In this paper, we present a depth map enhancement algorithm that performs depth map completion and de-noising simultaneously. Our method is based on the observation that for each RGB-D patch, if we find similarly looking patches, they lie in a very low-dimensional subspace. We can then assemble similar patches into a matrix and enforce this low-rank subspace constraint. This low-rank subspace constraint essentially captures the underlying structure in the RGB-D patches and enables robust depth enhancement against the noise or weak correlation between color and depth. Based on this subspace constraint, our method formulates depth map enhancement as a low-rank matrix completion problem. Since the rank of a matrix changes over matrices, we develop a data-driven method to automatically determine the rank number for each matrix. The experiments with our method on public benchmark show that our method can effectively enhance depth maps from consumer RGB-D cameras.","Si Lu, Portland State University; Xiaofeng Ren, Amazon; Feng   Liu*, Portland State University","Computational photography, sensing and display\Depth sensors*; Low-level vision and image processing\Denoising"
