1,1,2247,Going Deeper With Convolutions
2,1,851,Propagated Image Filtering
3,1,1360,Web Scale Photo Hash Clustering on A Single Machine
4,1,1401,Expanding Object Detector's Horizon: Incremental Learning Framework for Object Detection in Videos
5,1,821,Supervised Discrete Hashing
6,1,1796,What do 15;000 Object Categories Tell Us About Classifying and Localizing Actions?
7,1,1993,Landmarks-Based Kernelized Subspace Alignment for Unsupervised Domain Adaptation
8,1,1142,Blur Kernel Estimation Using Normalized Color-Line Prior
9,1,533,A Light Transport Model for Mitigating Multipath Interference in Time-of-Flight Sensors
10,1,2147,Traditional Saliency Reloaded: A Good Old Model in New Shape
11,1,333,Automatic Construction Of Robust Spherical Harmonic Subspaces
12,1,816,Leveraging Stereo Matching With Learning-Based Confidence Measures
13,1,873,Saliency Detection via Cellular Automata
14,1,738,Efficient Sparse-to-Dense Optical Flow Estimation Using a Learned Basis and Layers
15,1,2304,Learning Multiple Visual Tasks While Discovering Their Structure
16,1,1055,Projection Metric Learning on Grassmann Manifold With Application to Video Based Face Recognition
17,1,1686,Structural Sparse Tracking
18,1,575,Data-Driven Depth Map Refinement via Multi-Scale Sparse Representation
19,1,508,Uncalibrated Photometric Stereo Based on Elevation Angle Recovery From BRDF Symmetry of Isotropic Materials
20,1,1747,Attributes and Categories for Generic Instance Search From One Example
21,1,278,Heat Diffusion Over Weighted Manifolds: A New Descriptor for Textured 3D Non-Rigid Shapes
22,1,1925,A Dynamic Programming Approach for Fast and Robust Object Pose Recognition From Range Images
23,1,1598,Beyond Gaussian Pyramid: Multi-Skip Feature Stacking for Action Recognition
24,1,257,A Geodesic-Preserving Method for Image Warping
25,1,1779,Shape Driven Kernel Adaptation in Convolutional Neural Network for Robust Facial Traits Recognition
26,1,372,From Categories to Subcategories: Large-Scale Image Classification With Partial Class Label Refinement
27,2,640,Combination Features and Models for Human Detection
28,2,1698,Improving Object Detection With Deep Convolutional Networks via Bayesian Optimization and Structured Prediction
29,2,2188,A Metric Parametrization for Trifocal Tensors With Non-Colinear Pinholes
30,2,1399,An Efficient Volumetric Framework for Shape Tracking
31,2,210,Structured Sparse Subspace Clustering: A Unified Optimization Framework
32,2,1137,Delving Into Egocentric Actions
33,2,1365,Latent Trees for Estimating Intensity of Facial Action Units
34,2,547,Robust Regression on Image Manifolds for Ordered Label Denoising
35,2,2292,Privacy Preserving Optics for Miniature Vision Sensors
36,2,1200,Deep Transfer Metric Learning
37,2,440,Small-Variance Nonparametric Clustering on the Hypersphere
38,2,1833,DynamicFusion: Reconstruction and Tracking of Non-Rigid Scenes in Real-Time
39,2,1848,Reliable Patch Trackers: Robust Visual Tracking by Exploiting Reliable Patches
40,2,1650,Predicting Eye Fixations Using Convolutional Neural Networks
41,3,1739,Kernel Fusion for Better Image Deblurring
42,3,1465,Direction Matters: Depth Estimation With a Surface Normal Classifier
43,3,2103,Modeling Local and Global Deformations in Deep Learning: Epitomic Convolution; Multiple Instance Learning; and Sliding Window Detection
44,3,155,Grasp Type Revisited: A Modern Perspective on a Classical Feature for Vision
45,3,1802,Learning Hypergraph-Regularized Attribute Predictors
46,3,611,A Coarse-to-Fine Model for 3D Pose Estimation and Sub-Category Recognition
47,3,1307,Deep Neural Networks Are Easily Fooled: High Confidence Predictions for Unrecognizable Images
48,3,494,Deformable Part Models are Convolutional Neural Networks
49,3,720,Hypercolumns for Object Segmentation and Fine-Grained Localization
50,3,2350,Mapping Visual Features to Semantic Profiles for Retrieval in Medical Imaging
51,3,1384,Event-Driven Stereo Matching for Real-Time 3D Panoramic Vision
52,3,1022,Graph-Based Simplex Method for Pairwise Energy Minimization With Binary Variables
53,3,2099,Image Denoising via Adaptive Soft-Thresholding Based on Non-Local Samples
54,3,1323,3D Scanning Deformable Objects With a Single RGBD Sensor
55,3,835,Nested Motion Descriptors
56,3,926,Efficient Minimal-Surface Regularization of Perspective Depth Maps in Variational Stereo
57,4,1888,Maximum Persistency via Iterative Relaxed Inference With Graphical Models
58,4,1789,Deep Hierarchical Parsing for Semantic Segmentation
59,4,506,Designing Deep Networks for Surface Normal Estimation
60,4,1128,Layered RGBD Scene Flow Estimation
61,4,454,Hashing With Binary Autoencoders
62,4,264,SUN RGB-D: A RGB-D Scene Understanding Benchmark Suite
63,4,1166,Collaborative Feature Learning From Social Media
64,4,797,Diversity-Induced Multi-View Subspace Clustering
65,4,1038,Building a Bird Recognition App and Large Scale Dataset With Citizen Scientists: The Fine Print in Fine-Grained Dataset Collection
66,4,1295,Early Burst Detection for Memory-Efficient Image Retrieval
67,4,1629,Indoor Scene Structure Analysis for Single Image Depth Estimation
68,4,1431,Light Field Layer Matting
69,4,763,Depth Camera Tracking With Contour Cues
70,4,1872,Radial Distortion Homography
71,4,2104,Efficient Object Localization Using Convolutional Networks
72,4,679,Just Noticeable Defocus Blur Detection and Estimation
73,4,739,How Do We Use Our Hands? Discovering a Diverse Set of Common Grasps
74,4,976,Rotating Your Face Using Multi-Task Deep Neural Network
75,4,2100,Is Object Localization for Free? - Weakly-Supervised Learning With Convolutional Neural Networks
76,4,1561,Super-Resolution Person Re-Identification With Semi-Coupled Low-Rank Discriminant Dictionary Learning
77,4,167,Dual Domain Filters Based Texture and Structure Preserving Image Non-Blind Deconvolution
78,4,1620,Region-Based Temporally Consistent Video Post-Processing
79,5,1684,Global Refinement of Random Forest
80,5,404,Adaptive Region Pooling for Object Detection
81,5,1659,Discriminative and Consistent Similarities in Instance-Level Multiple Instance Learning
82,5,198,MUlti-Store Tracker (MUSTer): A Cognitive Psychology Inspired Approach to Object Tracking
83,5,722,Finding Action Tubes
84,5,513,Learning a Convolutional Neural Network for Non-Uniform Motion Blur Removal
85,5,2046,Complexity-Adaptive Distance Metric for Object Proposals Generation
86,5,420,High-Fidelity Pose and Expression Normalization for Face Recognition in the Wild
87,5,1735,Transformation of Markov Random Fields for Marginal Distribution Estimation
88,5,2175,Sparse Convolutional Neural Networks
89,5,2343,FaceNet: A Unified Embedding for Face Recognition and Clustering
90,5,196,Cascaded Hand Pose Regression
91,5,994,Cross-Scene Crowd Counting via Deep Convolutional Neural Networks
92,5,1538,The Application of Two-Level Attention Models in Deep Convolutional Neural Network for Fine-Grained Image Classification
93,5,2140,End-to-End Integration of a Convolution Network; Deformable Parts Model and Non-Maximum Suppression
94,5,894,A Mixed Bag of Emotions: Model; Predict; and Transfer Emotion Distributions
95,5,728,Neuroaesthetics in Fashion: Modeling the Perception of Fashionability
96,5,1732,Part-Based Modelling of Compound Scenes From Images
97,6,2220,Efficient Parallel Optimization for Potts Energy With Hierarchical Fusion
98,6,1071,Pooled Motion Features for First-Person Videos
99,6,1908,Functional Correspondence by Matrix Completion
100,6,1501,Elastic-Net Regularization of Singular Values for Robust Subspace Learning
101,6,623,Hardware Compliant Approximate Image Codes
102,6,370,Photometric Refinement of Depth Maps for Multi-Albedo Objects
103,6,1175,Predicting the Future Behavior of a Time-Varying Probability Distribution
104,6,2082,Classifier Based Graph Construction for Video Segmentation
105,6,83,ActivityNet: A Large-Scale Video Benchmark for Human Activity Understanding
106,6,253,Mid-Level Deep Pattern Mining
107,6,582,Prediction of Search Targets From Fixations in Open-World Settings
108,6,530,Understanding Image Representations by Measuring Their Equivariance and Equivalence
109,7,617,Effective Learning-Based Illuminant Estimation Using Simple Features
110,7,885,PAIGE: PAirwise Image Geometry Encoding for Improved Efficiency in Structure-From-Motion
111,7,963,Dense; Accurate Optical Flow Estimation With Piecewise Parametric Model
112,7,669,Single-Image Estimation of the Camera Response Function in Near-Lighting
113,7,837,Multispectral Pedestrian Detection: Benchmark Dataset and Baseline
114,7,201,A Low-Dimensional Step Pattern Analysis Algorithm With Application to Multimodal Retinal Image Registration
115,7,129,Bilinear Heterogeneous Information Machine for RGB-D Action Recognition
116,7,808,MRF Optimization by Graph Approximation
117,7,234,SALICON: Saliency in Context
118,7,475,Weakly Supervised Object Detection With Convex Clustering
119,7,371,Interleaved Text/Image Deep Mining on a Very Large-Scale Radiology Database
120,7,195,Learning Semantic Relationships for Better Action Retrieval in Images
121,7,1794,Hierarchical Recurrent Neural Network for Skeleton Based Action Recognition
1,1,1935,Depth and Surface Normal Estimation From Monocular Images Using Regression on Deep Features and Hierarchical CRFs
2,1,781,Discriminative Shape From Shading in Uncalibrated Illumination
3,1,1235,Multi-Manifold Deep Metric Learning for Image Set Classification
4,1,777,Target Identity-Aware Network Flow for Online Multiple Target Tracking
5,1,2326,Adaptive As-Natural-As-Possible Image Stitching
6,1,435,EpicFlow: Edge-Preserving Interpolation of Correspondences for Optical Flow
7,1,1531,Learning Coarse-to-Fine Sparselets for Efficient Object Detection and Scene Classification
8,1,2197,Continuous Visibility Feature
9,1,1091,FlowWeb: Joint Image Set Alignment by Weaving Consistent; Pixel-Wise Correspondences
10,1,231,Unsupervised Object Discovery and Localization in the Wild: Part-Based Matching With Bottom-Up Region Proposals
11,1,2200,Supervised Descriptor Learning for Multi-Output Regression
